timestamp,model,latency_ms,tokens_total,tokens_prompt,tokens_completion,cost_usd,prompt_technique,success,rag_used,rag_similarity_score,rag_retrieval_time_ms,rag_context_length,rag_retrieval_count,rag_performance_score
2025-11-10T16:11:00.582522,google/gemini-2.0-flash-exp:free,3244,215,198,17,0.0,few_shot,True,False,,,,,
2025-11-10T16:11:12.759552,google/gemini-2.0-flash-exp:free,1925,213,198,15,0.0,few_shot,True,False,,,,,
2025-11-10T16:11:48.978380,google/gemini-2.0-flash-exp:free,2778,212,198,14,0.0,few_shot,True,False,,,,,
2025-11-10T16:13:43.985621,google/gemini-2.0-flash-exp:free,1272,213,196,17,0.0,few_shot,True,False,,,,,
2025-11-10T16:17:38.071727,google/gemini-2.0-flash-exp:free,15795,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:32:40.384602,google/gemini-2.0-flash-exp:free,2297,211,197,14,0.0,few_shot,True,False,,,,,
2025-11-10T16:32:56.467064,google/gemini-2.0-flash-exp:free,6678,213,198,15,0.0,few_shot,True,False,,,,,
2025-11-10T16:33:50.305570,google/gemini-2.0-flash-exp:free,7363,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:34:12.039340,google/gemini-2.0-flash-exp:free,3090,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:35:31.970739,google/gemini-2.0-flash-exp:free,6462,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:40:30.630535,google/gemini-2.0-flash-exp:free,6651,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:42:31.171891,google/gemini-2.0-flash-exp:free,7356,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T16:43:54.004405,google/gemini-2.0-flash-exp:free,3173,209,195,14,0.0,few_shot,True,False,,,,,
2025-11-10T16:44:07.987109,google/gemini-2.0-flash-exp:free,1537,207,194,13,0.0,few_shot,True,False,,,,,
2025-11-10T16:44:24.431374,google/gemini-2.0-flash-exp:free,3593,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T17:31:01.157404,google/gemini-2.0-flash-exp:free,7234,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-10T17:43:45.817047,google/gemini-2.0-flash-exp:free,1750,191,174,17,0.0,simple,True,False,,,,,
2025-11-10T17:44:33.887801,google/gemini-2.0-flash-exp:free,3509,185,168,17,0.0,simple,True,False,,,,,
2025-11-10T17:45:32.905440,google/gemini-2.0-flash-exp:free,2404,185,168,17,0.0,simple,True,False,,,,,
2025-11-11T21:45:34.458592,google/gemini-2.0-flash-exp:free,7659,205,198,7,0.0,few_shot,True,False,,,,,
2025-11-11T22:07:47.065494,google/gemini-2.0-flash-exp:free,2724,194,173,21,0.0,simple,True,False,,,,,
2025-11-11T22:08:27.028768,google/gemini-2.0-flash-exp:free,6627,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-11T22:15:19.234104,google/gemini-2.0-flash-exp:free,16720,0,0,0,0.0,simple,False,False,,,,,
2025-11-11T22:15:25.293301,google/gemini-2.0-flash-exp:free,6045,0,0,0,0.0,few_shot,False,False,,,,,
2025-11-14T13:18:41.829779,google/gemini-2.0-flash-exp:free,6110,214,198,16,0.0,few_shot,True,False,,,,,
2025-11-14T14:42:29.340890,google/gemini-2.0-flash-exp:free,7436,0,0,0,0.0,simple,False,False,,,,,
2025-11-14T14:46:00.205686,google/gemini-2.0-flash-exp:free,6551,210,198,12,0.0,few_shot,True,False,,,,,
